Detailed Statistics Departures  
Origin Airport: Chicago, IL: Chicago O'Hare International (ORD)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","02/11/2019","5048","N712PS","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","02/11/2019","5127","N574NN","STL","07:15","14:58","80","80","463","15:15","17","0","26","0","0","437"
"OH","02/11/2019","5157","N600NN","LEX","08:14","08:26","77","79","12","08:48","22","0","0","0","0","0"
"OH","02/11/2019","5252","N503AE","DAY","18:19","18:17","68","104","-2","19:05","48","0","0","34","0","0"
"OH","02/11/2019","5255","N503AE","DAY","12:10","12:04","72","64","-6","12:19","15","0","0","0","0","0"
"OH","02/12/2019","5048","N502AE","DAY","22:05","00:08","62","68","123","00:27","19","0","27","6","0","96"
"OH","02/12/2019","5127","N512AE","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","02/12/2019","5252","N530EA","DAY","18:19","18:16","68","101","-3","19:05","49","0","0","30","0","0"
"OH","02/12/2019","5255","N530EA","DAY","12:10","00:00","72","0","0","00:00","0","0","0","0","0","0"
"OH","02/13/2019","5048","N508AE","DAY","22:05","22:01","62","63","-4","22:16","15","0","0","0","0","0"
"OH","02/13/2019","5127","N530EA","STL","07:15","07:14","80","60","-1","07:24","10","0","0","0","0","0"
"OH","02/13/2019","5252","N516AE","DAY","18:19","18:16","68","61","-3","18:34","18","0","0","0","0","0"
"OH","02/13/2019","5255","N516AE","DAY","12:10","12:03","72","78","-7","12:29","26","0","0","0","0","0"
"OH","02/14/2019","5048","N705PS","DAY","22:05","22:06","63","56","1","22:11","5","0","0","0","0","0"
"OH","02/14/2019","5127","N708PS","STL","07:15","07:16","80","69","1","07:27","11","0","0","0","0","0"
"OH","02/14/2019","5157","N512AE","LEX","08:14","08:11","77","74","-3","08:29","18","0","0","0","0","0"
"OH","02/14/2019","5252","N725PS","DAY","18:20","18:18","69","69","-2","18:42","24","0","0","0","0","0"
"OH","02/14/2019","5255","N725PS","DAY","12:10","12:07","73","56","-3","12:17","10","0","0","0","0","0"
"OH","02/15/2019","5048","N508AE","DAY","22:05","22:12","63","66","7","22:27","15","0","0","0","0","0"
"OH","02/15/2019","5127","N705PS","STL","07:15","07:14","80","62","-1","07:27","13","0","0","0","0","0"
"OH","02/15/2019","5157","N725PS","LEX","08:14","00:00","77","0","0","00:00","0","0","0","0","0","0"
